required_skills,candidate_skills,expected_gap
"Angular, Social Media Marketing, Account Executive, Creativity, PyTorch, Arbitration, Azure, Team Leadership, SEM","Angular, Arbitration, Azure, Creativity, PyTorch, SEM, Talent Acquisition, Team Leadership","Social Media Marketing, Account Executive"
"Corporate Law, Prospecting, Compensation and Benefits, Stakeholder Management, Talent Acquisition, Medical Practitioner, Node.js, NoSQL","Compensation and Benefits, ETL, Lead Generation, NoSQL, Node.js, Performance Management, R, Stakeholder Management, Talent Acquisition","Corporate Law, Medical Practitioner"
"Diagnosis, B2C Sales, ETL, Adaptability, Physician, Recruitment, Spring Boot, Radiology, Taxation, Criminal Law","Adaptability, Arbitration, B2C Sales, Criminal Law, Diagnosis, Google Cloud, Medical Practitioner, Portfolio Management, Radiology, Recruitment, Spring Boot, Taxation",ETL
"Python, Stakeholder Management, Orthopedics, Civil Law, Swift, Hadoop, Logistics, IFRS, Performance Management, Diagnosis","Diagnosis, Hadoop, Logistics, Orthopedics, Performance Management, Presentation Skills, Python, Stakeholder Management, Swift, Valuation","Civil Law, IFRS"
"Agile, Criminal Law, Spring Boot, SEM, Azure, Orthopedics","Azure, Clinical Research, Compensation and Benefits, Criminal Law, Orthopedics, Recruitment, Sales, Spring Boot","Agile, SEM"
"DevOps, Advocate, Hadoop, Training and Development, Git, React, B2B Sales, Intellectual Property Law, Accounting, Employee Engagement","Accounting, Advocate, Bookkeeping, Corporate Law, DevOps, Employee Engagement, Git, Hadoop, Human Resources, Intellectual Property Law, React, Sales, Tableau","Training and Development, B2B Sales"
"Advocate, Social Media Marketing, Civil Law, R, Forecasting, Clinical Research, Lawyer, MLOps, Talent Acquisition, SQL","Advocate, Civil Law, Clinical Research, Django, MLOps, R, Talent Acquisition, Training and Development","Social Media Marketing, Forecasting, SQL"
"Derivatives, Contract Drafting, Node.js, Risk Management, Program Management, Lawyer, Forecasting, Human Resources","Contract Drafting, Forecasting, Human Resources, Kubernetes, Node.js, Risk Management","Derivatives, Program Management, Lawyer"
"Computer Vision, Salesforce, PHP, R, Equity Research, .NET, CRM, Financial Reporting, CA",".NET, Accounting, CRM, Compensation and Benefits, Computer Vision, Email Marketing, Equity Research, Financial Reporting, Machine Learning, PHP, Performance Management, Prospecting, R, Salesforce",
"C#, Cardiology, Closing Deals, Team Leadership, Deep Learning, Angular, Diagnosis, Bookkeeping","Angular, Cardiology, Deep Learning, Email Marketing, Team Leadership","C#, Closing Deals, Diagnosis, Bookkeeping"
"Problem Solving, Financial Reporting, Critical Thinking, CRM, TypeScript, Contract Drafting, B2B Sales, C#, Leadership","ASP.NET, Account Executive, Financial Reporting, Leadership, Power BI, Social Media Marketing, TypeScript","Problem Solving, Critical Thinking, CRM, Contract Drafting, B2B Sales"
"FastAPI, NoSQL, Corporate Finance, Medical Practitioner, Ruby, Time Management, GAAP","Corporate Finance, Doctor, FastAPI, Negotiation, NoSQL, Product Management, Ruby, Scrum, Time Management",GAAP
"Sales, HR, CRM, Derivatives, Azure, Cardiology, Vue","C++, Derivatives, FastAPI, Intellectual Property Law, Sales","HR, CRM, Azure, Cardiology, Vue"
"Strategic Planning, GCP, Internal Medicine, Chartered Accountant, Account Executive, Adaptability, Lawyer, CA","Adaptability, Attorney, Azure, GCP, Internal Medicine, Jenkins, Physician, Sales, Strategic Planning","Chartered Accountant, CA"
"SQL, Financial Analysis, Talent Acquisition, Azure, FastAPI, Content Marketing","Azure, Computer Vision, Containerization, FastAPI, Financial Analysis, Physician, Supply Chain Management, Talent Acquisition","SQL, Content Marketing"
"Criminal Law, B2C Sales, Ruby, Chartered Accountant, Performance Marketing, Diagnosis, Content Marketing, IFRS, Docker, Team Leadership","B2C Sales, Chartered Accountant, Docker, IFRS, Ruby, Swift, Team Leadership","Criminal Law, Performance Marketing, Diagnosis, Content Marketing"
"Marketing Analytics, Terraform, Leadership, Tableau, React, Agile, Digital Marketing, Creativity","Agile, Creativity, Leadership, Marketing Analytics, Prospecting, Tableau, Teamwork","Terraform, React, Digital Marketing"
"AWS, Go, CI/CD, C++, Financial Reporting, Content Marketing, Creativity","AWS, C++, CI/CD, Clinical Research, Content Marketing, Creativity, Financial Reporting, Go, Google Cloud, Strategic Planning",
"SEO, R, Process Improvement, Financial Analysis, Pediatrics, PHP, .NET Core, Medical Ethics, Litigation, Mediation",".NET Core, Change Management, Forecasting, Litigation, Mediation, Medical Ethics, PHP, Pediatrics, Problem Solving, Process Improvement, R, SEM, Talent Acquisition",Financial Analysis
"Doctor, Docker, Azure, Agile, Performance Marketing, Surgery, Google Ads, Civil Law, Derivatives, Internal Medicine","Agile, Azure, Civil Law, Containerization, Contract Drafting, Doctor, Internal Medicine, Performance Marketing, Surgery","Google Ads, Derivatives"
"Scrum, .NET Core, Creativity, Communication, Risk Management, GCP, Civil Law",".NET, Azure, Brand Strategy, Civil Law, Communication, Data Engineering, Employee Engagement, Google Ads, Google Cloud, Scrum","Creativity, Risk Management"
"Scrum, Chartered Accountant, Azure, B2C Sales, Problem Solving, SEM, Mediation, Communication","Azure, B2C Sales, Communication, Negotiation, Problem Solving, Valuation","Scrum, Chartered Accountant, SEM, Mediation"
"Taxation, Java, ETL, Jenkins, Leadership, Litigation, React, PHP",".NET, .NET Core, Data Analysis, Data Engineering, ETL, FastAPI, Java, Jenkins, Leadership, Litigation, React, Taxation",PHP
"Prospecting, Diagnosis, Arbitration, Human Resources, Intellectual Property Law, Performance Marketing",".NET, Arbitration, Criminal Law, Diagnosis, HR, Intellectual Property Law, Lead Generation, Performance Marketing",
"Tableau, Financial Analysis, Online Marketing, Linux, Sales, Key Account Management","Account Executive, Angular, Financial Analysis, Key Account Management, Linux, Mediation, NoSQL, Performance Marketing, Tableau",
"JavaScript, Pediatrics, Vue, Budgeting, Critical Thinking, Mediation, Problem Solving, Corporate Law, Intellectual Property Law","Budgeting, Corporate Law, Intellectual Property Law, JavaScript, Market Research, Mediation, Pediatrics, Problem Solving","Vue, Critical Thinking"
"Creativity, Litigation, Project Management, Node.js, Contract Drafting, Corporate Finance, Derivatives, SEO, Portfolio Management","Account Executive, Contract Drafting, Corporate Finance, Creativity, Litigation, Portfolio Management, Power BI, Program Management","Node.js, Derivatives, SEO"
"Machine Learning, Vue, Data Warehousing, Talent Acquisition, Orthopedics, Leadership, Time Management","Data Warehousing, Machine Learning, Orthopedics, React, Surgery, Talent Acquisition, Time Management","Vue, Leadership"
"Diagnosis, Financial Analysis, B2B Sales, Presentation Skills, .NET, Audit, Employee Engagement, Angular, Corporate Finance","ASP.NET, Angular, Audit, B2B Sales, Corporate Finance, Diagnosis, Employee Engagement, Financial Analysis, HR, Presentation Skills",
"Hadoop, Valuation, Clinical Research, Compensation and Benefits, MLOps, .NET Core, Surgery, Kubernetes, Accounting, Django","ASP.NET, AWS, Accounting, Angular, Clinical Research, Compensation and Benefits, Django, GAAP, Hadoop, IFRS, MLOps, Surgery, Swift, Valuation",Kubernetes
"Advocate, Negotiation, Market Research, MLOps, Portfolio Management, Node.js, Adaptability, Jenkins, Taxation, Corporate Finance","Adaptability, Contract Drafting, Corporate Finance, FastAPI, JavaScript, Jenkins, MLOps, Market Research, Negotiation, Node.js, Pediatrics, Team Leadership","Advocate, Portfolio Management, Taxation"
"Corporate Finance, ETL, Online Marketing, Accounting, Human Resources, TensorFlow, SEM, Linux","Certified Public Accountant, Clinical Research, Corporate Finance, Data Engineering, ETL, Human Resources, Litigation, Patient Examination, Performance Marketing, R, SEM, TensorFlow",Linux
"Diagnosis, Negotiation, Patient Examination, Social Media Marketing, Program Management, Brand Strategy, Corporate Finance","Brand Strategy, Communication, Corporate Finance, NLP, Negotiation, Physician, Product Management, Project Management, Social Media Marketing","Diagnosis, Patient Examination"
"Linux, Market Research, Swift, HR, CA, Agile, Kubernetes","Agile, CA, Containerization, Content Marketing, HR, Linux, Market Research, Swift",
"Taxation, Go, Intellectual Property Law, Swift, Contract Drafting, Compensation and Benefits, CA, Content Marketing, Advocate","Chartered Accountant, Compensation and Benefits, Content Marketing, DevOps, Go, HR, Intellectual Property Law, Java, Training and Development","Taxation, Swift, Contract Drafting, Advocate"
"JavaScript, Sales, Performance Marketing, MLOps, Change Management, Product Management","Account Executive, Azure, Change Management, JavaScript, Leadership, Logistics, MLOps, Performance Marketing, Product Management, React",
"Supply Chain Management, Critical Thinking, Brand Strategy, Jenkins, Key Account Management, Mediation","Brand Strategy, Critical Thinking, Jenkins, Key Account Management, Leadership, Mediation, React, Supply Chain Management, Team Leadership",
"Employee Engagement, Agile, TypeScript, Attorney, Radiology, R, CA, Market Research, JavaScript, Financial Reporting","Advocate, Agile, CA, DevOps, Employee Engagement, Financial Reporting, Market Research, R, Radiology, Talent Acquisition, TensorFlow, TypeScript, Vue",JavaScript
"CRM, Power BI, R, NoSQL, Budgeting, Corporate Finance",".NET, Audit, Budgeting, CRM, Corporate Finance, Negotiation, NoSQL, R",Power BI
"Chartered Accountant, Physician, Litigation, Medical Practitioner, Advocate, Derivatives","Derivatives, Lawyer, Litigation, Pediatrics, Physician",Chartered Accountant
"ETL, Team Leadership, CRM, Valuation, Kubernetes, Node.js, Equity Research, Investment Analysis, Patient Examination, Mediation","CRM, Computer Vision, ETL, Equity Research, Financial Analysis, Mediation, Node.js, PHP, Patient Examination, Scrum, Team Leadership, Valuation",Kubernetes
"Medical Practitioner, Ruby, Terraform, React, Content Marketing, GAAP, IFRS","Attorney, Compliance, GAAP, IFRS, MLOps, Medical Practitioner, React, Risk Management, Ruby, Scrum, Terraform",Content Marketing
"Email Marketing, Azure, Go, Spark, Performance Management, Logistics, Attorney, Communication","Azure, Communication, Email Marketing, Go, Logistics, Performance Management, Radiology, Spark, Vue",Attorney
"Diagnosis, Flask, Forecasting, Bookkeeping, ASP.NET, Change Management, Stakeholder Management",".NET, Bookkeeping, Change Management, Diagnosis, Flask, Forecasting, Online Marketing, Stakeholder Management",
"Content Marketing, Talent Acquisition, Go, IFRS, Agile, Problem Solving, Chartered Accountant","Accounting, Agile, CI/CD, Content Marketing, Doctor, Equity Research, Go, Mediation, Problem Solving, Vue","Talent Acquisition, IFRS"
"Surgery, Cardiology, Logistics, Bookkeeping, Terraform, Agile","Agile, Bookkeeping, Cardiology, Strategic Planning, Surgery","Logistics, Terraform"
"Financial Analysis, Computer Vision, NLP, Valuation, SEM, Bookkeeping, Logistics","Bookkeeping, Logistics, NLP, Program Management, SEO, Valuation","Financial Analysis, Computer Vision"
"Presentation Skills, Time Management, Machine Learning, Data Engineering, Derivatives, Leadership, NoSQL","Communication, Data Engineering, Derivatives, Financial Analysis, Leadership, Machine Learning, NoSQL, PHP, Supply Chain Management, Time Management",Presentation Skills
"HR, Marketing Analytics, Corporate Law, Salesforce, Internal Medicine, Angular, .NET Core, Deep Learning",".NET, Angular, Change Management, Corporate Law, HR, Internal Medicine, Legal Research, Marketing Analytics, Salesforce",Deep Learning
"Containerization, Forecasting, Brand Strategy, Cardiology, GCP, Lead Generation, Surgery, Email Marketing, Jenkins, FastAPI","Agile, Cardiology, Containerization, FastAPI, Jenkins, Strategic Planning","Forecasting, Brand Strategy, GCP, Lead Generation, Surgery, Email Marketing"
"Performance Management, Investment Analysis, TypeScript, Spring Boot, Legal Research, Employee Engagement, Pediatrics, Brand Strategy, Performance Marketing","Advocate, B2C Sales, Brand Strategy, Employee Engagement, Investment Analysis, Pediatrics, Performance Management, Performance Marketing, Spring Boot, TypeScript",Legal Research
"GAAP, R, Litigation, Swift, Teamwork, Communication, TensorFlow, IFRS, Agile","Advocate, Agile, Communication, GAAP, IFRS, Litigation, Presentation Skills, R, Swift, Taxation, TensorFlow",Teamwork
"PyTorch, Training and Development, Litigation, Compensation and Benefits, NoSQL, R, SQL","Audit, Budgeting, Civil Law, Compensation and Benefits, Data Analysis, Litigation, NoSQL, Portfolio Management, PyTorch, R, SQL, Training and Development",
"Training and Development, Program Management, Recruitment, Leadership, Salesforce, Clinical Research, JavaScript, Chartered Accountant, Risk Management, AWS","AWS, Chartered Accountant, Google Cloud, JavaScript, Leadership, Litigation, Machine Learning, Market Research, Project Management, Recruitment, Risk Management, SQL, Salesforce","Training and Development, Clinical Research"
"JavaScript, Medical Practitioner, Budgeting, Compliance, MLOps, Civil Law, Tableau","Civil Law, Compliance, JavaScript, Legal Research, MLOps, Physician, Scrum, Tableau, Training and Development",Budgeting
"Data Analysis, Pediatrics, Program Management, Accounting, Team Leadership, Audit, Account Executive, HR","Audit, Business Development, Closing Deals, Data Analysis, GCP, HR, Pediatrics, Project Management, Salesforce","Accounting, Team Leadership"
"Team Leadership, Lawyer, Contract Drafting, Bookkeeping, DevOps, Key Account Management, NoSQL, Closing Deals, Node.js, Diagnosis",".NET, Advocate, Bookkeeping, Closing Deals, Containerization, Content Marketing, Contract Drafting, Diagnosis, Key Account Management, Marketing Analytics, NoSQL, Node.js, Surgery, Team Leadership",DevOps
"Radiology, Docker, Linux, Java, Change Management, Deep Learning, Criminal Law, Clinical Research","Change Management, Clinical Research, Criminal Law, Docker, Hadoop, Intellectual Property Law, Java, NoSQL, Physician, Radiology, TensorFlow","Linux, Deep Learning"
"Spark, Key Account Management, SQL, C#, Salesforce, Teamwork, Containerization, Portfolio Management, Negotiation","Chartered Accountant, Containerization, JavaScript, Key Account Management, Negotiation, Power BI, Prospecting, SQL, Salesforce, Spark, Teamwork","C#, Portfolio Management"
"Teamwork, TensorFlow, Data Analysis, Corporate Law, Mediation, Supply Chain Management, Equity Research, Flask","Bookkeeping, Budgeting, C#, Corporate Law, Equity Research, Flask, Supply Chain Management, Teamwork, TensorFlow","Data Analysis, Mediation"
"IFRS, Content Marketing, .NET Core, Google Cloud, Cardiology, Investment Analysis, Deep Learning, Corporate Law","Cardiology, Corporate Law, Data Engineering, Deep Learning, GCP, IFRS, Supply Chain Management","Content Marketing, .NET Core, Investment Analysis"
"CA, Intellectual Property Law, Change Management, Radiology, Strategic Planning, Performance Marketing, Email Marketing, Negotiation Skills, Node.js","Certified Public Accountant, Change Management, Clinical Research, Digital Marketing, Email Marketing, FastAPI, Google Cloud, Intellectual Property Law, Negotiation Skills, Node.js, Online Marketing, Process Improvement, Radiology, Strategic Planning",
"Patient Examination, .NET, Internal Medicine, CI/CD, Supply Chain Management, Intellectual Property Law, Leadership, Communication, Orthopedics, Investment Analysis",".NET, CI/CD, Communication, Intellectual Property Law, Leadership, Patient Examination, Performance Management, Supply Chain Management","Internal Medicine, Orthopedics, Investment Analysis"
"Closing Deals, Criminal Law, ETL, Git, Compliance, CA","Certified Public Accountant, Compliance, Criminal Law, Google Cloud, IFRS, Leadership, Linux, Spark","Closing Deals, ETL, Git"
"Product Management, Terraform, SEM, Python, TypeScript, Salesforce, Orthopedics, Team Leadership, Arbitration","Go, Orthopedics, Performance Marketing, Product Management, Python, SEM, Sales, Team Leadership, TypeScript, Vue","Terraform, Salesforce, Arbitration"
"Negotiation Skills, Ruby, Patient Examination, Kotlin, Marketing Analytics, R","Derivatives, Email Marketing, Marketing Analytics, Negotiation Skills, Patient Examination, Portfolio Management, R, Ruby",Kotlin
"Financial Analysis, Jenkins, Process Improvement, SEO, Civil Law, Salesforce, B2B Sales","Agile, B2B Sales, Civil Law, Derivatives, Financial Analysis, Litigation, Salesforce","Jenkins, Process Improvement, SEO"
"Criminal Law, MLOps, Salesforce, Certified Public Accountant, Spark, Strategic Planning, Clinical Research, Brand Strategy, SEM","Brand Strategy, Clinical Research, Criminal Law, MLOps, Node.js, SEM, Spark, Taxation","Salesforce, Certified Public Accountant, Strategic Planning"
"Chartered Accountant, Spring Boot, Strategic Planning, Hadoop, Swift, Lead Generation, Certified Public Accountant, NoSQL, Angular","Angular, Certified Public Accountant, Chartered Accountant, Git, Hadoop, Spring Boot, Strategic Planning, Swift, Training and Development","Lead Generation, NoSQL"
"Tableau, Contract Drafting, Brand Strategy, Agile, Valuation, Negotiation, Lawyer","Agile, Attorney, Brand Strategy, Contract Drafting, Digital Marketing, Negotiation, Portfolio Management, Risk Management, Tableau",Valuation
"R, Leadership, SEO, DevOps, JavaScript, Business Development, Agile, Adaptability, Time Management","Agile, Business Development, CA, DevOps, ETL, JavaScript, Leadership, Medical Ethics, R, SEO, Time Management, Training and Development",Adaptability
"Linux, Team Leadership, Recruitment, Spark, Stakeholder Management, .NET Core, Project Management",".NET Core, Angular, Deep Learning, Linux, Spark, Stakeholder Management","Team Leadership, Recruitment, Project Management"
"Performance Marketing, Employee Engagement, Internal Medicine, CA, .NET Core, HR",".NET, CA, Digital Marketing, Employee Engagement, Human Resources, Internal Medicine, Strategic Planning",
"Data Warehousing, Containerization, FastAPI, Project Management, MLOps, Brand Strategy, TensorFlow, Market Research, Audit","Containerization, Data Warehousing, FastAPI, MLOps, Market Research, Project Management, Spring Boot, TensorFlow","Brand Strategy, Audit"
"Lawyer, Certified Public Accountant, Agile, Clinical Research, .NET, C#, Data Engineering, Django, Performance Management",".NET, ASP.NET, Agile, CA, Data Engineering, Key Account Management, Kotlin, Performance Management, Salesforce, Spring Boot, Supply Chain Management","Lawyer, Clinical Research, Django"
"Leadership, Ruby, Data Warehousing, Budgeting, JavaScript, Digital Marketing, Creativity, Jenkins, Contract Drafting, Vue",".NET Core, AWS, Business Development, Certified Public Accountant, Creativity, Data Warehousing, JavaScript, Jenkins, Leadership, Online Marketing, Radiology, Ruby, Vue","Budgeting, Contract Drafting"
"Accounting, Negotiation Skills, Contract Drafting, Equity Research, PHP, Prospecting","CA, Contract Drafting, Investment Analysis, Lead Generation, Negotiation Skills, PHP",Equity Research
"Angular, Django, Lead Generation, Machine Learning, Lawyer, Attorney, Forecasting","AWS, Advocate, Angular, Attorney, Creativity, Django, Forecasting, Machine Learning, Medical Practitioner, Team Leadership",Lead Generation
"Flask, Audit, Agile, Spring Boot, Negotiation Skills, Equity Research","Agile, Audit, Equity Research, Negotiation Skills, Presentation Skills, Spring Boot, Strategic Planning",Flask
"Lawyer, Data Engineering, Linux, Lead Generation, Financial Analysis, Talent Acquisition, DevOps","Containerization, Data Engineering, DevOps, Digital Marketing, Financial Analysis, Git, HR, Lawyer, Lead Generation, Linux, Talent Acquisition",
"Java, Contract Drafting, Portfolio Management, Lawyer, Risk Management, Medical Practitioner, Doctor, Negotiation Skills","Contract Drafting, Derivatives, Email Marketing, Java, Lawyer, Legal Research, Negotiation, Negotiation Skills, Risk Management","Portfolio Management, Medical Practitioner, Doctor"
"GAAP, Azure, Leadership, Power BI, Presentation Skills, Team Leadership, ETL, Change Management, Go","Azure, Change Management, DevOps, Forecasting, Go, Lead Generation, Leadership, Power BI, Presentation Skills, Sales, Team Leadership","GAAP, ETL"
"Arbitration, Certified Public Accountant, Angular, Patient Examination, Medical Ethics, Adaptability, Litigation","AWS, Arbitration, Data Engineering, Financial Reporting, Flask, Litigation, Market Research, Medical Ethics, Patient Examination","Certified Public Accountant, Angular, Adaptability"
"R, Leadership, Litigation, Risk Management, Doctor, Containerization, C#, Docker, Business Development, SEO",".NET Core, Business Development, Containerization, Doctor, Equity Research, Kubernetes, Leadership, Litigation, R, Risk Management, SEO",
"Django, Azure, Jenkins, Taxation, Corporate Finance, Accounting, Internal Medicine, Tableau, Process Improvement","Accounting, Azure, Corporate Finance, Data Warehousing, Django, Jenkins, Tableau, Taxation","Internal Medicine, Process Improvement"
"Logistics, Data Analysis, Agile, Deep Learning, Risk Management, Communication, Mediation","Agile, Cardiology, Communication, Data Analysis, Deep Learning, Diagnosis, Java, Litigation, Mediation, Risk Management, Tableau",Logistics
"Tableau, B2C Sales, ASP.NET, Critical Thinking, Kubernetes, Strategic Planning, Spark","ASP.NET, B2C Sales, CA, Chartered Accountant, Civil Law, Critical Thinking, GCP, Kubernetes, Spark, Tableau",Strategic Planning
